nodeIndex, graphIndex, pos_x, pos_y, pos_z, penalty, area, destroyed, flags, tag, walkable
1, 0, -55.352, 0, -40.648, 500, 2, False, 127, 0, True
2, 0, -54.552, 0, -40.648, 500, 2, False, 127, 0, True
3, 0, -53.752, 0, -40.648, 500, 2, False, 127, 0, True
4, 0, -52.952, 0, -40.648, 500, 2, False, 127, 0, True
5, 0, -52.152, 0, -40.648, 500, 2, False, 127, 0, True
6, 0, -51.352, 0, -40.648, 500, 2, False, 127, 0, True
7, 0, -50.552, 0, -40.648, 500, 2, False, 127, 0, True
8, 0, -49.752, 0, -40.648, 500, 2, False, 127, 0, True
9, 0, -48.952, 0, -40.648, 500, 2, False, 127, 0, True
10, 0, -48.152, 0, -40.648, 0, 2, False, 127, 0, True
11, 0, -47.352, 0, -40.648, 0, 2, False, 127, 0, True
12, 0, -46.552, 0, -40.648, 0, 2, False, 127, 0, True
13, 0, -45.752, 0, -40.648, 0, 2, False, 127, 0, True
14, 0, -44.952, 0, -40.648, 0, 2, False, 127, 0, True
15, 0, -44.152, 0, -40.648, 0, 2, False, 127, 0, True
16, 0, -43.352, 0, -40.648, 0, 2, False, 127, 0, True
17, 0, -42.552, 0, -40.648, 0, 2, False, 127, 0, True
18, 0, -41.752, 0, -40.648, 0, 2, False, 127, 0, True
19, 0, -40.952, 0, -40.648, 0, 2, False, 127, 0, True
20, 0, -40.152, 0, -40.648, 0, 2, False, 127, 0, True
21, 0, -39.352, 0, -40.648, 0, 2, False, 127, 0, True
22, 0, -38.552, 0, -40.648, 0, 2, False, 127, 0, True
23, 0, -37.752, 0, -40.648, 0, 2, False, 127, 0, True
24, 0, -36.952, 0, -40.648, 0, 2, False, 125, 0, True
25, 0, -36.152, 0, -40.648, 0, 2, False, 125, 0, True
26, 0, -35.352, 0, -40.648, 0, 2, False, 125, 0, True
27, 0, -34.552, 0, -40.648, 0, 2, False, 125, 0, True
28, 0, -33.752, 0, -40.648, 0, 2, False, 125, 0, True
29, 0, -32.952, 0, -40.648, 0, 2, False, 125, 0, True
30, 0, -32.152, 0, -40.648, 0, 2, False, 125, 0, True
31, 0, -31.352, 0, -40.648, 0, 2, False, 125, 0, True
32, 0, -30.552, 0, -40.648, 0, 2, False, 125, 0, True
33, 0, -29.752, 0, -40.648, 0, 2, False, 125, 0, True
34, 0, -28.952, 0, -40.648, 0, 2, False, 125, 0, True
35, 0, -28.152, 0, -40.648, 0, 2, False, 125, 0, True
36, 0, -27.352, 0, -40.648, 0, 2, False, 125, 0, True
37, 0, -26.552, 0, -40.648, 0, 2, False, 125, 0, True
38, 0, -25.752, 0, -40.648, 0, 2, False, 125, 0, True
39, 0, -24.952, 0, -40.648, 0, 2, False, 125, 0, True
40, 0, -24.152, 0, -40.648, 0, 2, False, 125, 0, True
41, 0, -23.352, 0, -40.648, 0, 2, False, 125, 0, True
42, 0, -22.552, 0, -40.648, 0, 2, False, 125, 0, True
43, 0, -21.752, 0, -40.648, 0, 2, False, 123, 0, True
44, 0, -20.952, 0, -40.648, 0, 2, False, 123, 0, True
45, 0, -20.152, 0, -40.648, 0, 2, False, 123, 0, True
46, 0, -19.352, 0, -40.648, 0, 2, False, 123, 0, True
47, 0, -18.552, 0, -40.648, 0, 2, False, 123, 0, True
48, 0, -17.752, 0, -40.648, 0, 2, False, 123, 0, True
49, 0, -16.952, 0, -40.648, 0, 2, False, 123, 0, True
50, 0, -16.152, 0, -40.648, 0, 2, False, 123, 0, True
51, 0, -15.352, 0, -40.648, 0, 2, False, 123, 0, True
52, 0, -14.552, 0, -40.648, 0, 2, False, 123, 0, True
53, 0, -13.752, 0, -40.648, 0, 2, False, 123, 0, True
54, 0, -12.952, 0, -40.648, 0, 2, False, 123, 0, True
55, 0, -12.152, 0, -40.648, 0, 2, False, 123, 0, True
56, 0, -11.352, 0, -40.648, 0, 2, False, 123, 0, True
57, 0, -10.552, 0, -40.648, 0, 2, False, 123, 0, True
58, 0, -9.752001, 0, -40.648, 0, 2, False, 123, 0, True
59, 0, -8.952001, 0, -40.648, 0, 2, False, 123, 0, True
60, 0, -8.152, 0, -40.648, 0, 2, False, 123, 0, True
61, 0, -7.352, 0, -40.648, 0, 2, False, 123, 0, True
62, 0, -6.552001, 0, -40.648, 0, 2, False, 121, 0, True
63, 0, -5.752, 0, -40.648, 0, 2, False, 121, 0, True
